Date,Day,Phase,Week,Section,Exercise,Sets,Reps,Rest,Notes
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,Band Pull-Apart (pause),3,12,45s,
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,Dead Bug (slow),3,8ea,45s,ANTI-ROTATION
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,Band Uchi Komi (explosive),5,10,60s,judo
3/8/2026,Sunday,Phase 2 - Max Strength,8,Cool-down,Pigeon stretch,1,30s ea,-,
3/8/2026,Sunday,Phase 2 - Max Strength,8,Cool-down,Deep breathing,1,60s,-,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Warm-up,Jump rope,1,2min,-,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Warm-up,Hip circles,1,10ea,-,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Warm-up,Empty bar squat,1,10,-,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Main,Front Squat,5,3,180s,90%+
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Main,Close-Grip Bench Press,4,4,180s,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Main,Weighted Pull-up,4,3,120s,max effort
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Main,Cable Woodchop (controlled),3,8ea,60s,ROTATION
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Main,Heavy Carry,3,30m,120s,grip
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Cool-down,Hip flexor stretch,1,30s ea,-,
3/11/2026,Wednesday,Phase 2 - Max Strength,9,Cool-down,Deep breathing,1,60s,-,
3/13/2026,Friday,Phase 2 - Max Strength,9,Warm-up,Jumping jacks,1,1min,-,
3/13/2026,Friday,Phase 2 - Max Strength,9,Warm-up,World's greatest stretch,1,5ea,-,
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,KB Goblet Squat (32kg - pause),4,5,90s,2s bottom
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,Ring Muscle-up Negative,4,3,120s,or pull+dip
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,KB Single-Arm Press (24kg),4,5ea,90s,strict
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,KB Sumo Deadlift (32kg),4,6,90s,
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,Pallof Press Walk,3,8 steps ea,60s,ANTI-ROTATION
3/13/2026,Friday,Phase 2 - Max Strength,9,Main,Towel Chin-ups,3,5,90s,judo grip
3/13/2026,Friday,Phase 2 - Max Strength,9,Cool-down,Forearm stretch,1,30s ea,-,
3/13/2026,Friday,Phase 2 - Max Strength,9,Cool-down,Child's pose,1,60s,-,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Warm-up,High knees,1,30s,-,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Warm-up,KB Halo (16kg),1,10ea,-,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,KB Swing (32kg),6,8,90s,max power
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,Ring L-Sit Dips,4,5,90s,or regular
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,KB Pistol to Box (24kg),3,4ea,120s,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,Band Face Pull + External Rotate,3,12,45s,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,Arch Body Hold,3,30s,45s,back strength
3/15/2026,Sunday,Phase 2 - Max Strength,9,Main,Band Uchi Komi (comp speed),5,8,60s,judo
3/15/2026,Sunday,Phase 2 - Max Strength,9,Cool-down,Pigeon stretch,1,30s ea,-,
3/15/2026,Sunday,Phase 2 - Max Strength,9,Cool-down,Deep breathing,1,60s,-,
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Warm-up,Jump rope (light),1,2min,-,
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Warm-up,Hip circles,1,10ea,-,
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Main,Back Squat,2,5,120s,-20% load
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Main,Bench Press,2,5,120s,-20% load
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Main,Pull-up,2,5,90s,bodyweight
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Main,Pallof Press,2,8ea,60s,ANTI-ROTATION
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Mobility,Hip mobility circuit,1,5min,-,
3/18/2026,Wednesday,Phase 2 - DELOAD,10,Mobility,Thoracic rotations,1,5min,-,
3/20/2026,Friday,Phase 2 - DELOAD,10,Warm-up,Jumping jacks,1,1min,-,
3/20/2026,Friday,Phase 2 - DELOAD,10,Warm-up,Cat-cow,1,10,-,
3/20/2026,Friday,Phase 2 - DELOAD,10,Main,KB Goblet Squat (24kg),2,8,60s,
3/20/2026,Friday,Phase 2 - DELOAD,10,Main,Ring Rows,2,10,60s,
3/20/2026,Friday,Phase 2 - DELOAD,10,Main,KB Floor Press (2x16kg),2,8,60s,
3/20/2026,Friday,Phase 2 - DELOAD,10,Main,Dead Hang,2,30s,60s,grip
3/20/2026,Friday,Phase 2 - DELOAD,10,Mobility,Full body stretching,1,10min,-,
3/22/2026,Sunday,Phase 2 - DELOAD,10,Warm-up,Light movement,1,3min,-,
3/22/2026,Sunday,Phase 2 - DELOAD,10,Main,KB Swing (24kg),3,12,60s,easy
3/22/2026,Sunday,Phase 2 - DELOAD,10,Main,Ring Push-ups,2,10,60s,
3/22/2026,Sunday,Phase 2 - DELOAD,10,Main,Band Uchi Komi (smooth),3,15,60s,technique
3/22/2026,Sunday,Phase 2 - DELOAD,10,Mobility,Extended mobility + visualization,1,15min,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Warm-up,Jump rope (fast intervals),1,2min,-,10s on/10s off
3/25/2026,Wednesday,Phase 3 - Power,11,Warm-up,Hip circles + leg swings,1,10ea,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Warm-up,Squat jumps (no weight),1,5,-,explosive
3/25/2026,Wednesday,Phase 3 - Power,11,Warm-up,Med ball slam (light),1,5,-,prime CNS
3/25/2026,Wednesday,Phase 3 - Power,11,Warm-up,Band pull-aparts,1,15,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Main,Power Clean,4,3,150s,POWER
3/25/2026,Wednesday,Phase 3 - Power,11,Main,Jump Squat (30% 1RM),4,5,120s,explosive
3/25/2026,Wednesday,Phase 3 - Power,11,Main,Bench Press Throw,4,5,120s,or clap pushup
3/25/2026,Wednesday,Phase 3 - Power,11,Main,Med Ball Rotational Throw,4,5ea,90s,ROTATION
3/25/2026,Wednesday,Phase 3 - Power,11,Main,Hanging Leg Raise,3,10,60s,core
3/25/2026,Wednesday,Phase 3 - Power,11,Cool-down,Hip flexor stretch,1,30s ea,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Cool-down,Thoracic rotation stretch,1,30s ea,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Cool-down,Lat stretch,1,30s ea,-,
3/25/2026,Wednesday,Phase 3 - Power,11,Cool-down,Deep breathing,1,60s,-,
3/27/2026,Friday,Phase 3 - Power,11,Warm-up,Jumping jacks,1,1min,-,
3/27/2026,Friday,Phase 3 - Power,11,Warm-up,World's greatest stretch,1,5ea,-,
3/27/2026,Friday,Phase 3 - Power,11,Warm-up,Ring support hold,1,20s,-,
3/27/2026,Friday,Phase 3 - Power,11,Main,KB Swing (32kg - explosive),5,8,90s,POWER
3/27/2026,Friday,Phase 3 - Power,11,Main,Ring Pull-ups (explosive),4,5,90s,fast
3/27/2026,Friday,Phase 3 - Power,11,Main,KB Push Press (2x24kg),4,5,90s,drive
3/27/2026,Friday,Phase 3 - Power,11,Main,KB Lateral Bound + Stick,3,5ea,90s,judo movement
3/27/2026,Friday,Phase 3 - Power,11,Main,Band Rotational Chop,3,10ea,60s,ROTATION
3/27/2026,Friday,Phase 3 - Power,11,Main,Gi Grip Explosive Pull (towel),4,5,90s,judo
3/27/2026,Friday,Phase 3 - Power,11,Cool-down,Forearm stretch,1,30s ea,-,
3/27/2026,Friday,Phase 3 - Power,11,Cool-down,Child's pose,1,60s,-,
3/29/2026,Sunday,Phase 3 - Power,11,Warm-up,High knees,1,30s,-,
3/29/2026,Sunday,Phase 3 - Power,11,Warm-up,Butt kicks,1,30s,-,
3/29/2026,Sunday,Phase 3 - Power,11,Warm-up,KB Halo (16kg),1,10ea,-,
3/29/2026,Sunday,Phase 3 - Power,11,Main,KB Snatch (24kg),5,5ea,90s,POWER
3/29/2026,Sunday,Phase 3 - Power,11,Main,Ring Dips (explosive),4,5,90s,fast
3/29/2026,Sunday,Phase 3 - Power,11,Main,KB Jump Squat (16kg),4,5,90s,explosive
3/29/2026,Sunday,Phase 3 - Power,11,Main,Band Uchi Komi (explosive snap),5,8,60s,judo
3/29/2026,Sunday,Phase 3 - Power,11,Main,Ring Anti-Rotation Hold,3,20s ea,60s,ANTI-ROTATION
3/29/2026,Sunday,Phase 3 - Power,11,Main,Band Hip Rotation (standing),3,10ea,60s,ROTATION
3/29/2026,Sunday,Phase 3 - Power,11,Cool-down,Pigeon stretch,1,30s ea,-,
3/29/2026,Sunday,Phase 3 - Power,11,Cool-down,Deep breathing,1,60s,-,
4/1/2026,Wednesday,Phase 3 - Power,12,Warm-up,Jump rope,1,2min,-,
4/1/2026,Wednesday,Phase 3 - Power,12,Warm-up,Dynamic stretches,1,3min,-,
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Hang Clean,4,3,150s,POWER
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Box Jump (step down),4,5,120s,max height
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Push Press,4,4,120s,drive
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Med Ball Scoop Toss,4,5,90s,hip power
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Cable Woodchop (explosive),3,8ea,60s,ROTATION
4/1/2026,Wednesday,Phase 3 - Power,12,Main,Farmer's Walk (speed),3,30m,90s,grip
4/1/2026,Wednesday,Phase 3 - Power,12,Cool-down,Stretching,1,5min,-,
4/3/2026,Friday,Phase 3 - Power,12,Warm-up,Jumping jacks,1,1min,-,
4/3/2026,Friday,Phase 3 - Power,12,Warm-up,World's greatest stretch,1,5ea,-,
4/3/2026,Friday,Phase 3 - Power,12,Main,KB Clean (2x24kg),5,3,90s,POWER
4/3/2026,Friday,Phase 3 - Power,12,Main,Ring Rows (explosive pull),4,6,90s,fast
4/3/2026,Friday,Phase 3 - Power,12,Main,KB Thruster (2x16kg),4,5,90s,drive
4/3/2026,Friday,Phase 3 - Power,12,Main,KB Rotational Swing,3,8ea,90s,ROTATION
4/3/2026,Friday,Phase 3 - Power,12,Main,Ring Plank Hold (unstable),3,30s,60s,ANTI-ROTATION
4/3/2026,Friday,Phase 3 - Power,12,Main,Towel Pull-up (explosive),4,5,90s,judo
4/3/2026,Friday,Phase 3 - Power,12,Cool-down,Stretching,1,5min,-,
4/5/2026,Sunday,Phase 3 - Power,12,Warm-up,High knees,1,30s,-,
4/5/2026,Sunday,Phase 3 - Power,12,Warm-up,KB Halo (16kg),1,10ea,-,
4/5/2026,Sunday,Phase 3 - Power,12,Main,KB Swing (32kg - max power),6,6,90s,POWER
4/5/2026,Sunday,Phase 3 - Power,12,Main,Ring Push-up (clap if able),4,5,90s,explosive
4/5/2026,Sunday,Phase 3 - Power,12,Main,KB Split Squat Jump,4,4ea,90s,
4/5/2026,Sunday,Phase 3 - Power,12,Main,Band Uchi Komi (comp sim),5,10,60s,judo
4/5/2026,Sunday,Phase 3 - Power,12,Main,Band Rotational Press,3,8ea,60s,ROTATION
4/5/2026,Sunday,Phase 3 - Power,12,Main,Hollow to Arch Roll,3,8,45s,core
4/5/2026,Sunday,Phase 3 - Power,12,Cool-down,Stretching,1,5min,-,
4/8/2026,Wednesday,Phase 3 - Power,13,Warm-up,Jump rope,1,2min,-,
4/8/2026,Wednesday,Phase 3 - Power,13,Warm-up,Dynamic stretches,1,3min,-,
4/8/2026,Wednesday,Phase 3 - Power,13,Main,Power Clean + Push Press,4,2+2,180s,POWER
4/8/2026,Wednesday,Phase 3 - Power,13,Main,Depth Jump to Box,4,4,120s,reactive
4/8/2026,Wednesday,Phase 3 - Power,13,Main,Explosive Bench Press (50% 1RM),4,5,120s,speed
4/8/2026,Wednesday,Phase 3 - Power,13,Main,Landmine Rotational Press,4,5ea,90s,ROTATION
4/8/2026,Wednesday,Phase 3 - Power,13,Main,Hanging Windshield Wiper,3,6ea,60s,core
4/8/2026,Wednesday,Phase 3 - Power,13,Cool-down,Stretching,1,5min,-,
4/10/2026,Friday,Phase 3 - Power,13,Warm-up,Jumping jacks,1,1min,-,
4/10/2026,Friday,Phase 3 - Power,13,Warm-up,World's greatest stretch,1,5ea,-,
4/10/2026,Friday,Phase 3 - Power,13,Main,KB Snatch (24kg),5,5ea,90s,POWER
4/10/2026,Friday,Phase 3 - Power,13,Main,Ring Muscle-up Attempt,4,3,120s,or progression
4/10/2026,Friday,Phase 3 - Power,13,Main,KB Jerk (2x24kg),4,3,90s,drive
4/10/2026,Friday,Phase 3 - Power,13,Main,Lateral Bound (stick landing),4,5ea,90s,judo movement
4/10/2026,Friday,Phase 3 - Power,13,Main,Band Anti-Rotation Press,3,10ea,60s,ANTI-ROTATION
4/10/2026,Friday,Phase 3 - Power,13,Main,Gi Grip Row + Rotation,4,6ea,60s,judo
4/10/2026,Friday,Phase 3 - Power,13,Cool-down,Stretching,1,5min,-,
4/12/2026,Sunday,Phase 3 - Power,13,Warm-up,High knees,1,30s,-,
4/12/2026,Sunday,Phase 3 - Power,13,Warm-up,KB Halo (16kg),1,10ea,-,
4/12/2026,Sunday,Phase 3 - Power,13,Main,KB Swing (32kg - max height),5,8,90s,POWER
4/12/2026,Sunday,Phase 3 - Power,13,Main,Ring Dips (fast),4,6,90s,
4/12/2026,Sunday,Phase 3 - Power,13,Main,KB Broad Jump + Squat,4,4,90s,
4/12/2026,Sunday,Phase 3 - Power,13,Main,Band Uchi Komi (match simulation),6,8,45s,judo
4/12/2026,Sunday,Phase 3 - Power,13,Main,KB Rotational Clean,3,5ea,90s,ROTATION
4/12/2026,Sunday,Phase 3 - Power,13,Main,Side Plank Hip Lift,3,10ea,45s,core
4/12/2026,Sunday,Phase 3 - Power,13,Cool-down,Stretching,1,5min,-,
4/15/2026,Wednesday,Phase 3 - Power,14,Warm-up,Jump rope,1,2min,-,
4/15/2026,Wednesday,Phase 3 - Power,14,Warm-up,Dynamic stretches,1,3min,-,
4/15/2026,Wednesday,Phase 3 - Power,14,Main,Hang Clean,5,2,180s,85%+
4/15/2026,Wednesday,Phase 3 - Power,14,Main,Box Jump (max height),4,3,120s,peak power
4/15/2026,Wednesday,Phase 3 - Power,14,Main,Speed Bench (60% 1RM),5,3,90s,fast
4/15/2026,Wednesday,Phase 3 - Power,14,Main,Med Ball Rotational Wall Slam,4,5ea,90s,ROTATION
4/15/2026,Wednesday,Phase 3 - Power,14,Main,Heavy Farmer's Walk,3,40m,120s,grip
4/15/2026,Wednesday,Phase 3 - Power,14,Cool-down,Stretching,1,5min,-,
4/17/2026,Friday,Phase 3 - Power,14,Warm-up,Jumping jacks,1,1min,-,
4/17/2026,Friday,Phase 3 - Power,14,Warm-up,World's greatest stretch,1,5ea,-,
4/17/2026,Friday,Phase 3 - Power,14,Main,KB Snatch (24kg - fast),6,4ea,90s,POWER
4/17/2026,Friday,Phase 3 - Power,14,Main,Ring Pull-ups (explosive chest-to),4,4,90s,
4/17/2026,Friday,Phase 3 - Power,14,Main,KB Push Press (2x24kg),4,4,90s,
4/17/2026,Friday,Phase 3 - Power,14,Main,KB Pivot Lunge,3,5ea,90s,judo movement
4/17/2026,Friday,Phase 3 - Power,14,Main,Band Woodchop (fast),4,8ea,60s,ROTATION
4/17/2026,Friday,Phase 3 - Power,14,Main,Competition Grip Isometric,3,30s,60s,judo
4/17/2026,Friday,Phase 3 - Power,14,Cool-down,Stretching,1,5min,-,
4/19/2026,Sunday,Phase 3 - Power,14,Warm-up,High knees,1,30s,-,
4/19/2026,Sunday,Phase 3 - Power,14,Warm-up,KB Halo (16kg),1,10ea,-,
4/19/2026,Sunday,Phase 3 - Power,14,Main,KB Swing (32kg - comp power),5,6,90s,POWER
4/19/2026,Sunday,Phase 3 - Power,14,Main,Ring Dips (fast + controlled),4,5,90s,
4/19/2026,Sunday,Phase 3 - Power,14,Main,KB Jump Squat (24kg),4,4,90s,
4/19/2026,Sunday,Phase 3 - Power,14,Main,Band Uchi Komi (full speed),6,6,60s,judo
4/19/2026,Sunday,Phase 3 - Power,14,Main,Band Hip Rotation (explosive),4,8ea,60s,ROTATION
4/19/2026,Sunday,Phase 3 - Power,14,Main,Dead Bug (fast),3,10ea,45s,core
4/19/2026,Sunday,Phase 3 - Power,14,Cool-down,Stretching,1,5min,-,
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Warm-up,Light jog,1,2min,-,
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Warm-up,Dynamic stretches,1,3min,-,
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Main,Power Clean,2,2,120s,70%
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Main,Box Jump,2,3,120s,submaximal
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Main,Bench Press,2,3,120s,70%
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Main,Pallof Press,2,8ea,60s,ANTI-ROTATION
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Mobility,Full mobility routine,1,10min,-,
4/22/2026,Wednesday,Phase 3 - DELOAD,15,Mobility,Competition visualization,1,10min,-,
4/24/2026,Friday,Phase 3 - DELOAD,15,Warm-up,Light movement,1,3min,-,
4/24/2026,Friday,Phase 3 - DELOAD,15,Main,KB Swing (24kg),3,10,60s,smooth
4/24/2026,Friday,Phase 3 - DELOAD,15,Main,Ring Rows,2,10,60s,
4/24/2026,Friday,Phase 3 - DELOAD,15,Main,KB Goblet Squat (24kg),2,8,60s,
4/24/2026,Friday,Phase 3 - DELOAD,15,Main,Band Uchi Komi (technique),3,12,60s,smooth
4/24/2026,Friday,Phase 3 - DELOAD,15,Mobility,Extended mobility + mental prep,1,15min,-,
4/26/2026,Sunday,Phase 3 - DELOAD,15,Warm-up,Light movement,1,3min,-,
4/26/2026,Sunday,Phase 3 - DELOAD,15,Main,KB Swing (16kg),3,10,60s,easy
4/26/2026,Sunday,Phase 3 - DELOAD,15,Main,Ring Push-ups,2,8,60s,
4/26/2026,Sunday,Phase 3 - DELOAD,15,Main,Light Band Uchi Komi,3,10,60s,technique
4/26/2026,Sunday,Phase 3 - DELOAD,15,Mobility,Extended mobility,1,15min,-,
4/26/2026,Sunday,Phase 3 - DELOAD,15,Mobility,Competition visualization,1,10min,-,
4/29/2026,Wednesday,Phase 4 - Taper,16,Warm-up,Light jog/jump rope,1,2min,-,
4/29/2026,Wednesday,Phase 4 - Taper,16,Warm-up,Dynamic stretches,1,3min,-,
4/29/2026,Wednesday,Phase 4 - Taper,16,Warm-up,Band activation,1,2min,-,
4/29/2026,Wednesday,Phase 4 - Taper,16,Main,Power Clean,3,2,120s,80%
4/29/2026,Wednesday,Phase 4 - Taper,16,Main,Back Squat,3,3,120s,75%
4/29/2026,Wednesday,Phase 4 - Taper,16,Main,Bench Press,3,3,120s,75%
4/29/2026,Wednesday,Phase 4 - Taper,16,Main,Pull-up,2,5,90s,bodyweight
4/29/2026,Wednesday,Phase 4 - Taper,16,Main,Pallof Press,2,8ea,60s,maintain
4/29/2026,Wednesday,Phase 4 - Taper,16,Cool-down,Full body stretch,1,5min,-,
4/29/2026,Wednesday,Phase 4 - Taper,16,Cool-down,Deep breathing/visualization,1,5min,-,competition
5/1/2026,Friday,Phase 4 - Taper,16,Warm-up,Light movement,1,3min,-,
5/1/2026,Friday,Phase 4 - Taper,16,Main,KB Swing (24kg),4,8,60s,crisp
5/1/2026,Friday,Phase 4 - Taper,16,Main,Ring Pull-ups,3,5,90s,
5/1/2026,Friday,Phase 4 - Taper,16,Main,KB Floor Press (2x16kg),3,6,60s,
5/1/2026,Friday,Phase 4 - Taper,16,Main,KB Goblet Squat (24kg),3,6,60s,
5/1/2026,Friday,Phase 4 - Taper,16,Main,Band Uchi Komi (technique perfect),4,10,60s,smooth
5/1/2026,Friday,Phase 4 - Taper,16,Cool-down,Mobility + visualization,1,10min,-,
5/3/2026,Sunday,Phase 4 - Taper,16,Warm-up,Light movement,1,3min,-,
5/3/2026,Sunday,Phase 4 - Taper,16,Main,KB Swing (24kg - crisp),4,8,60s,snap
5/3/2026,Sunday,Phase 4 - Taper,16,Main,Ring Dips,3,5,60s,
5/3/2026,Sunday,Phase 4 - Taper,16,Main,KB Reverse Lunge (16kg),3,6ea,60s,
5/3/2026,Sunday,Phase 4 - Taper,16,Main,Band Uchi Komi (comp mindset),4,8,60s,FOCUS
5/3/2026,Sunday,Phase 4 - Taper,16,Main,Light Core Circuit,2,30s,30s,each
5/3/2026,Sunday,Phase 4 - Taper,16,Cool-down,Extended mobility + visualization,1,15min,-,
5/6/2026,Wednesday,Phase 4 - Taper,17,Warm-up,Light movement,1,3min,-,
5/6/2026,Wednesday,Phase 4 - Taper,17,Main,Power Clean,2,2,120s,75%
5/6/2026,Wednesday,Phase 4 - Taper,17,Main,Back Squat,2,3,120s,70%
5/6/2026,Wednesday,Phase 4 - Taper,17,Main,Bench Press,2,3,120s,70%
5/6/2026,Wednesday,Phase 4 - Taper,17,Main,Pull-up,2,5,90s,easy
5/6/2026,Wednesday,Phase 4 - Taper,17,Mobility,Hip mobility circuit,1,5min,-,
5/6/2026,Wednesday,Phase 4 - Taper,17,Mobility,Shoulder mobility,1,5min,-,
5/6/2026,Wednesday,Phase 4 - Taper,17,Mobility,Competition visualization,1,10min,-,mental
5/8/2026,Friday,Phase 4 - Taper,17,Warm-up,Light movement,1,3min,-,
5/8/2026,Friday,Phase 4 - Taper,17,Main,KB Swing (16kg),3,10,60s,light
5/8/2026,Friday,Phase 4 - Taper,17,Main,Ring Rows,2,8,60s,
5/8/2026,Friday,Phase 4 - Taper,17,Main,KB Goblet Squat (16kg),2,8,60s,
5/8/2026,Friday,Phase 4 - Taper,17,Main,Band Uchi Komi (perfect form),3,10,60s,technique
5/8/2026,Friday,Phase 4 - Taper,17,Mobility,Extended mobility,1,15min,-,
5/10/2026,Sunday,Phase 4 - Taper,17,Warm-up,Light movement,1,3min,-,
5/10/2026,Sunday,Phase 4 - Taper,17,Main,KB Swing (16kg),3,8,60s,easy
5/10/2026,Sunday,Phase 4 - Taper,17,Main,Ring Push-ups,2,8,60s,
5/10/2026,Sunday,Phase 4 - Taper,17,Main,Light Band Uchi Komi,3,8,60s,smooth
5/10/2026,Sunday,Phase 4 - Taper,17,Mobility,Foam rolling full body,1,10min,-,
5/10/2026,Sunday,Phase 4 - Taper,17,Mobility,Static stretching,1,10min,-,
5/10/2026,Sunday,Phase 4 - Taper,17,Mobility,Breathing + visualization,1,10min,-,competition
5/13/2026,Wednesday,Phase 4 - Taper,18,Warm-up,Light movement,1,3min,-,
5/13/2026,Wednesday,Phase 4 - Taper,18,Main,Power Clean (light fast),2,2,120s,65%
5/13/2026,Wednesday,Phase 4 - Taper,18,Main,Box Jump (moderate),2,3,120s,crisp
5/13/2026,Wednesday,Phase 4 - Taper,18,Main,Bench Press,2,3,120s,65%
5/13/2026,Wednesday,Phase 4 - Taper,18,Main,Pull-up,2,5,90s,bodyweight
5/13/2026,Wednesday,Phase 4 - Taper,18,Mobility,Full mobility routine,1,15min,-,
5/13/2026,Wednesday,Phase 4 - Taper,18,Mobility,Competition visualization,1,10min,-,FOCUS
5/15/2026,Friday,Phase 4 - Taper,18,Warm-up,Light movement,1,3min,-,
5/15/2026,Friday,Phase 4 - Taper,18,Main,KB Swing (16kg - crisp),3,8,60s,snap
5/15/2026,Friday,Phase 4 - Taper,18,Main,Ring Rows,2,8,60s,easy
5/15/2026,Friday,Phase 4 - Taper,18,Main,Band Uchi Komi (perfect technique),3,8,60s,MENTAL
5/15/2026,Friday,Phase 4 - Taper,18,Mobility,Full body mobility,1,15min,-,
5/15/2026,Friday,Phase 4 - Taper,18,Mobility,Competition visualization,1,15min,-,IPPON
5/17/2026,Sunday,Phase 4 - Taper,18,Warm-up,Light movement,1,3min,-,
5/17/2026,Sunday,Phase 4 - Taper,18,Main,KB Swing (16kg - perfect),2,8,60s,crisp
5/17/2026,Sunday,Phase 4 - Taper,18,Main,Ring Push-ups,2,6,60s,easy
5/17/2026,Sunday,Phase 4 - Taper,18,Main,Light Band Uchi Komi,2,8,60s,smooth
5/17/2026,Sunday,Phase 4 - Taper,18,Mobility,Full body foam rolling,1,10min,-,
5/17/2026,Sunday,Phase 4 - Taper,18,Mobility,Comprehensive stretching,1,15min,-,
5/17/2026,Sunday,Phase 4 - Taper,18,Mobility,Mental rehearsal + breathing,1,10min,-,READY
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Warm-up,Jump rope (light),1,2min,-,
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Warm-up,Dynamic mobility,1,3min,-,
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Main,Box Jump (submaximal),2,2,120s,crisp
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Main,Med Ball Slam (light),2,3,60s,snap
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Main,Explosive Pull-up,2,2,90s,fast
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Mobility,Light mobility,1,10min,-,
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Mobility,Equipment check/mental prep,1,10min,-,
5/20/2026,Wednesday,Phase 4 - Competition Week,19,Mobility,Competition visualization,1,10min,-,WIN
5/21/2026,Thursday,Phase 4 - Competition Week,19,Rest,COMPLETE REST,-,-,-,Hydration/nutrition/sleep/mental only
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Light jog,1,5min,-,Arrive 90+ min early
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Dynamic stretching,1,10min,-,
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Band pull-aparts,2,15,-,
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Explosive movements,1,5min,-,jumping/sprawls
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Uchi komi with partner,1,10min,-,build intensity
5/22/2026,Friday,COMPETITION DAY,19,Pre-comp,Rest before first match,-,15-20min,-,TRUST YOUR TRAINING
